Status ID,Customer ID,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Employee Related Cancellation,Product/Service Related Cancellation,Competitor Cancellation,Price Cancellation,Service ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,State,City,Zip Code
UMEKHN2443,0094-OIFMO,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,0,1,0,0,XIOWKBRNN4393,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Female,78,No,Yes,No,Yes,1,TXLVMF7264,California,North Hollywood,91605
YIPBAY5152,9947-OTFQU,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices,0,0,1,0,XOEPPWMTO9182,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,Male,65,No,Yes,No,No,0,ICTTCG9359,California,Covina,91722
YZFWSV3242,9514-JDSKI,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services,0,1,0,0,UGUIMLXCU8431,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,Male,77,No,Yes,Yes,No,0,HXBPUB8358,California,El Monte,91732
MDETXO4922,7273-TEFQD,2,Churned,Yes,1,96,2314,Price,Long distance charges,0,0,0,1,NBOGLPTZV7277,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,Male,67,No,Yes,No,No,0,XXRHYW1737,California,La Puente,91746
BEGOJN9758,3606-TWKGI,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices,0,0,1,0,YOBKZFGVQ5899,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.1399999999999,Male,68,No,Yes,No,No,0,YKMAHQ1326,California,Rowland Heights,91748
JLJPDE1341,4385-GZQXV,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices,0,0,1,0,VHJDHJCGG5893,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,Female,68,No,Yes,No,No,0,SHPSYY8543,California,Ontario,91764
OHPSLR4475,3488-PGMQJ,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,1,0,0,0,HXMLQEOHF5921,No,0,8,Unknown/None,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,Male,66,No,Yes,No,No,0,LQYOZM6288,California,Alpine,91901
GQOQWC2393,7534-BFESC,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer,0,0,1,0,WWYEWXVSH6917,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,Male,69,No,Yes,No,No,0,GUJJRB3775,California,San Diego,92122
OFKDMH9951,8098-LLAZX,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer,0,0,1,0,OSQCMMHHH1332,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,Female,74,No,Yes,No,No,0,SPEIWA8191,California,San Diego,92122
GHCFVK8885,0265-EDXBD,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person,1,0,0,0,FZQAVWHSH9565,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,Male,76,No,Yes,Yes,No,0,TMYNPD3367,California,San Diego,92122
DSIMCQ4621,2840-XANRC,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer,0,0,1,0,PLOCHMGQJ6697,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003,Male,77,No,Yes,Yes,No,0,FVSDWS6986,California,San Diego,92122
DHXVBL4276,5020-ZSTTY,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer,0,0,1,0,XNJUYZUTW5958,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,Female,70,No,Yes,No,No,0,XGSMIZ5526,California,San Diego,92122
ZIEQWD5744,5804-LEPIM,3,Churned,Yes,1,73,2671,Other,Don't know,0,0,0,0,ATPTIBSWE9432,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39000000000001,Female,74,No,Yes,No,No,0,TFIMDC4432,California,San Diego,92122
GQQMMS7744,0623-IIHUG,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer,0,0,1,0,WIKKPUBDD5531,No,0,21,Unknown/None,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,Female,77,No,Yes,No,No,0,IWJVDJ8317,California,San Diego,92122
GUGTBO6929,9057-MSWCO,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer,0,0,1,0,TKRBOHAOA4185,No,0,27,Unknown/None,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,Male,71,No,Yes,Yes,No,0,KSVXVQ7798,California,San Diego,92122
OEYWPL2828,4895-TMWIR,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer,0,0,1,0,OGTGVNIAI7862,Yes,1,11,Unknown/None,Yes,29.54,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,Male,79,No,Yes,Yes,No,0,RZCEVV7274,California,San Diego,92122
NMPICW5172,0533-BNWKF,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer,0,0,1,0,CEAETMXKC1258,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,Female,66,No,Yes,Yes,No,0,FZOAQK4769,California,San Diego,92122
LCTGJR7639,0334-GDDSO,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer,0,0,1,0,HXAWDMKNC7727,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,Male,77,No,Yes,No,No,0,RAYIIP3272,California,San Diego,92122
EFSJFW2561,5564-NEMQO,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability,0,1,0,0,RHOKWKGPI1159,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,Female,80,No,Yes,No,No,0,LVATLE5584,California,Thermal,92274
UNLRRA7673,6235-VDHOM,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services,0,1,0,0,HWTSHHROX7538,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,Female,77,No,Yes,No,No,0,XUECCC9855,California,Riverside,92509
WQCCWE6768,5609-CEBID,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices,0,0,1,0,PAOHKXQGG8796,No,0,20,Unknown/None,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.5999999999999,2837.0,Female,77,No,Yes,No,No,0,KEOVXW8355,California,Hemet,92544
QTRLCS8221,5956-VKDTT,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction,0,1,0,0,IAGYVDOMQ4746,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.79999999999998,563.6,Female,72,No,Yes,Yes,No,0,KHFBXS6415,California,Moreno Valley,92557
LGNAAI6835,0257-ZESQC,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person,1,0,0,0,BKPCFHKQJ2592,Yes,2,27,Unknown/None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,Female,80,No,Yes,Yes,No,0,LQJXOB2518,California,Perris,92571
QVCKEA1534,2865-TCHJW,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices,0,0,1,0,PYCXBVFEW4691,No,0,4,Unknown/None,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,Female,74,No,Yes,No,No,0,UUDUTT2316,California,Anaheim,92807
RINVCK3782,5192-EBGOV,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices,0,0,1,0,URLOXFYPV4252,No,0,1,Unknown/None,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,Female,68,No,Yes,No,No,0,MJCOHU2835,California,Brea,92823
WZSVYG6552,3419-SNJJD,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person,1,0,0,0,LTNYKEMKS4853,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.3500000000001,7981.75,Female,78,No,Yes,Yes,No,0,MNSWNB3438,California,Yorba Linda,92887
KZZHRZ2348,4554-YGZIH,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer,0,0,1,0,ILBWOZEYA6786,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,Male,75,No,Yes,Yes,No,0,VXMGHP1745,California,Summerland,93067
CVUUUK5972,5099-BAILX,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer,0,0,1,0,JTARJQLPF4989,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,Male,77,No,Yes,Yes,No,0,QVQYJH5147,California,Santa Barbara,93101
IYFTSS3523,4913-EHYUI,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds,0,0,1,0,CGZXKNJTP7197,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,Male,80,No,Yes,Yes,No,0,FPZGUA9175,California,Alpaugh,93201
YHCEYV9468,1626-ERCMM,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices,0,0,1,0,RHEBGFFVR4517,Yes,7,20,Unknown/None,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.19999999999999,2005.8500000000001,Male,75,No,Yes,Yes,No,0,GSXUMR4988,California,Camp Nelson,93208
BALQIW2979,5644-PDMZC,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person,1,0,0,0,NOEPUJTIG3795,No,0,2,Unknown/None,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,Female,69,No,Yes,No,No,0,WMFYXY5456,California,Delano,93215
GOFNCE2167,4160-AMJTL,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person,1,0,0,0,NGGLWVAEL7229,No,0,8,Unknown/None,Yes,27.95,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,Female,74,No,Yes,No,No,0,MVZYVA7772,California,Fellows,93224
YHDSJE8591,0823-HSCDJ,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer,0,0,1,0,SVCSCKAFM9875,No,0,52,Unknown/None,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,Male,76,No,Yes,No,No,0,FNJTWP6581,California,Temecula,92592
PFDTBW9847,0067-DKWBL,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer,0,0,1,0,PVFXVSVGO9463,No,0,2,Unknown/None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,Male,69,No,Yes,No,No,0,WVFRVJ6162,California,San Diego,92129
RZBCFN3616,5244-IRFIH,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support,1,0,0,0,LWGDPAKFW2516,Yes,1,33,Unknown/None,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,Male,72,No,Yes,Yes,No,0,NZIHDA2973,California,San Diego,92129
RISQKQ8866,2684-EIWEO,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer,0,0,1,0,DALFULBZT8863,No,0,30,Unknown/None,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,Female,69,No,Yes,No,No,0,EUUIBC2684,California,San Diego,92129
YOEBSY6292,6683-VLCTZ,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer,0,0,1,0,DACKMGISE2794,No,0,20,Unknown/None,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,Male,73,No,Yes,No,No,0,QXUNJR2953,California,San Diego,92129
TEYSZL2724,0691-IFBQW,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer,0,0,1,0,YNAKWSEIW1482,No,0,46,Unknown/None,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02000000000001,4983.820000000001,Female,65,No,Yes,No,No,0,OXKGRU3523,California,Biola,93606
VEMTOD4929,3643-AHCFP,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer,0,0,1,0,TJIJNJILG6631,Yes,1,7,Unknown/None,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,Male,74,No,Yes,Yes,No,0,JGTOPO6375,California,Selma,93662
FRTVGQ8355,9231-ZJYAM,3,Churned,Yes,1,72,5301,Other,Moved,0,0,0,0,LLOAXAHDO7297,No,0,4,Unknown/None,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,Female,65,No,Yes,No,No,0,USLRYU5682,California,Squaw Valley,93675
WDOXMV5263,0727-BMPLR,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds,0,0,1,0,SRGHHHNTP9554,No,0,55,Unknown/None,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,Female,66,No,Yes,No,No,0,TJLFXQ4369,California,Fresno,93706
DNYEON2965,0947-MUGVO,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices,0,0,1,0,EYMYXVDAB2137,Yes,1,20,Unknown/None,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,Male,71,No,Yes,Yes,No,0,ZVYTWF4636,California,Jolon,93928
NYCEPY5895,0781-LKXBR,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices,0,0,1,0,SKYDFEVGE7257,No,0,9,Unknown/None,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,Male,65,No,Yes,No,No,0,VBPUGZ8284,California,San Francisco,94102
ENIKXQ1144,1907-UBQFC,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices,0,0,1,0,FNGSMBSXV8364,No,0,10,Unknown/None,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,Male,69,No,Yes,No,No,0,HDAPZI7656,California,San Francisco,94108
OWORLL9111,6513-EECDB,2,Churned,Yes,1,94,4369,Price,Price too high,0,0,0,1,MGJOLSNWY5463,No,0,1,Unknown/None,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,Male,75,No,Yes,Yes,No,0,OHVZBQ5616,California,San Francisco,94114
VXIZTE7781,7074-IEVOJ,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction,0,1,0,0,ULDFYXUKU5875,No,0,3,Unknown/None,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.69999999999999,330.75,Female,75,No,Yes,No,No,0,NYNOQS1193,California,San Francisco,94130
KPGJZI4687,4750-ZRXIU,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices,0,0,1,0,LITKJJTIK7287,No,0,4,Unknown/None,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.82000000000005,Female,68,No,Yes,No,No,0,TUXUTV4565,California,Palo Alto,94304
OQKZSJ6985,7028-DVOIQ,1,Churned,Yes,1,82,2074,Other,Don't know,0,0,0,0,GKZLLSJOP7797,No,0,35,Unknown/None,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,Male,71,No,Yes,No,No,0,PMXLXT7644,California,Birds Landing,94512
HTNXWR4877,4208-UFFGW,2,Churned,Yes,1,84,5900,Other,Don't know,0,0,0,0,NLPAKHZZW4516,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39000000000001,Male,80,No,Yes,No,No,0,TDRSBG1431,California,Byron,94514
KUZXVM7215,9889-TMAHG,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices,0,0,1,0,DVJQFCKSM9833,No,0,8,Unknown/None,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.9100000000001,Male,66,No,Yes,No,No,0,BSMBMX4945,California,Fremont,94539
EURKQW6915,8919-FYFQZ,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices,0,0,1,0,MSVUAWRLL2128,Yes,2,44,Unknown/None,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,Male,73,No,Yes,Yes,No,0,MFKQYB5824,California,Livermore,94550
UMRZPL6948,6646-QVXLR,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices,0,0,1,0,NDGVORVDT1311,Yes,1,62,Unknown/None,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,Male,77,No,Yes,Yes,No,0,LNDFDN4331,California,Napa,94558
JUZQQS8256,9369-XFEHK,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data,0,0,1,0,EFAQADKXQ9325,Yes,1,33,Unknown/None,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,Female,76,No,Yes,Yes,No,0,GBLMUQ1492,California,Pleasanton,94566
