Satisfaction Score,Churn Value,Churn Score,CLTV,Employee Related Cancellation,Product/Service Related Cancellation,Competitor Cancellation,Price Cancellation,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Age,Number of Dependents,City,Zip Code,Churn Category_Competitor,Churn Category_Did Not Churn,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Did Not Churn,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction,Referred a Friend_Yes,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Offer_Unknown/None,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes
1,1,81,3810,0,0,1,0,0,16,9.43,9,94.45,1511.2,0.0,0,150.88,1662.08,68,0,15,91764,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
2,1,80,4345,1,0,0,0,0,8,1.78,7,74.5,606.55,0.0,0,14.24,620.79,66,0,5,91901,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2,1,91,2018,0,0,1,0,0,24,30.87,15,76.1,1712.7,0.0,0,740.88,2453.58,69,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
3,1,85,3677,0,0,1,0,0,4,31.61,2,95.45,396.1,0.0,0,126.44,522.54,74,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
2,1,69,4105,1,0,0,0,2,32,47.34,10,74.9,2303.35,0.0,0,1514.88,3818.23,76,0,285,92122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
2,1,73,2212,0,0,1,0,1,24,16.1,12,93.15,2231.05,0.0,0,386.4,2617.4500000000003,77,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0
1,1,83,4149,0,0,1,0,0,54,12.08,5,82.45,4350.1,0.0,0,652.32,5002.42,70,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
3,1,73,2671,0,0,0,0,0,2,13.17,10,70.35,139.05,0.0,0,26.34,165.39,74,0,285,92122,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,90,4778,0,0,1,0,0,21,0.0,8,41.9,840.1,0.0,0,0.0,840.1,77,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,91,2927,0,0,1,0,0,27,0.0,13,30.75,805.1,0.0,140,0.0,945.1,71,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
1,1,80,5888,0,0,1,0,1,11,29.54,0,19.95,214.75,0.0,0,324.94,539.69,79,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1,1,91,5502,0,0,1,0,2,55,42.82,27,85.45,4874.7,0.0,90,2355.1,7319.799999999999,66,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1,1,73,2818,0,0,1,0,0,3,9.22,14,81.35,233.7,0.0,0,27.660000000000004,261.36,77,0,285,92122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2,1,67,4902,0,1,0,0,0,1,35.09,17,75.3,75.3,0.0,20,35.09,130.39,80,0,4,92274,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,1,89,4099,0,1,0,0,0,5,0.0,26,28.45,131.05,0.0,0,0.0,131.05,77,0,32,92509,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,87,2666,0,0,1,0,0,20,48.73,12,94.1,1782.4,0.0,80,974.6,2837.0,77,0,12,92544,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,82,5273,0,1,0,0,4,5,45.76,22,74.35,334.8,0.0,0,228.8,563.6,72,0,16,92557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
1,1,91,4517,1,0,0,0,2,27,7.02,25,75.2,1929.35,0.0,0,189.54,2118.89,80,0,8,92571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
1,1,74,5808,0,0,1,0,0,4,48.35,24,89.2,346.2,0.0,0,193.4,539.6,74,0,28,92807,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,66,4880,0,0,1,0,0,1,45.81,21,85.7,85.7,0.0,0,45.81,131.51,68,0,8,92823,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,91,4196,1,0,0,0,3,65,18.39,28,105.25,6786.4,0.0,0,1195.35,7981.75,78,0,8,92887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
2,1,96,5059,0,0,1,0,3,49,22.92,14,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,75,0,4,93067,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0
2,1,65,2728,0,0,1,0,1,43,14.52,5,110.75,4687.9,0.0,0,624.36,5312.259999999999,77,0,28,93101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0
1,1,91,6268,0,0,1,0,0,56,48.8,12,104.55,5794.65,0.0,0,2732.8,8527.449999999999,80,0,4,93201,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
1,1,84,5604,0,0,1,0,7,20,5.31,10,94.55,1899.65,0.0,0,106.2,2005.85,75,0,4,93208,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0
2,1,80,2065,1,0,0,0,0,2,47.47,19,89.5,161.5,0.0,0,94.94,256.44,69,0,4,93215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
2,1,83,5432,1,0,0,0,0,8,27.95,0,19.65,164.3,0.0,0,223.6,387.9,74,0,4,93224,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,90,5597,0,0,1,0,0,52,0.0,18,49.15,2550.9,0.0,30,0.0,2580.9,76,0,38,92592,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
2,1,95,3475,0,0,1,0,0,2,43.99,27,49.25,91.1,0.0,0,87.98,179.07999999999998,69,0,285,92129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
3,1,91,4333,1,0,0,0,1,33,27.78,8,94.5,3105.55,0.0,0,916.74,4022.29,72,0,285,92129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0
1,1,90,2482,0,0,1,0,0,30,45.88,19,91.7,2758.15,0.0,0,1376.4,4134.55,69,0,285,92129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
3,1,92,5444,0,0,1,0,0,20,44.44,13,98.55,1842.8,0.0,120,888.8,2851.6,73,0,285,92129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
1,1,81,2403,0,0,1,0,0,46,2.37,20,110.0,4874.8,0.0,0,109.02,4983.820000000001,65,0,4,93606,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
3,1,83,3265,0,0,1,0,1,7,21.91,11,95.6,644.35,0.0,0,153.37,797.72,74,0,4,93662,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0
3,1,72,5301,0,0,0,0,0,4,36.93,18,78.85,292.8,0.0,0,147.72,440.52,65,0,4,93675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3,1,83,5679,0,0,1,0,0,55,37.38,7,100.0,5509.3,0.0,100,2055.9,7665.200000000001,66,0,61,93706,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
1,1,95,5849,0,0,1,0,1,20,5.37,24,73.65,1463.5,0.0,0,107.4,1570.9,71,0,4,93928,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
1,1,70,4038,0,0,1,0,0,9,48.71,15,100.5,918.6,0.0,0,438.39,1356.99,65,0,104,94102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0
1,1,91,3189,0,0,1,0,0,10,5.46,24,72.85,688.65,0.0,30,54.6,773.25,69,0,104,94108,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2,1,94,4369,0,0,0,1,0,1,36.92,6,73.55,73.55,0.0,0,36.92,110.47,75,0,104,94114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
1,1,91,3501,0,1,0,0,0,3,41.9,11,79.4,205.05,0.0,0,125.7,330.75,75,0,104,94130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,83,2467,0,0,1,0,0,4,6.68,17,84.6,360.1,0.0,0,26.72,386.8200000000001,68,0,16,94304,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,1,82,2074,0,0,0,0,0,35,20.83,19,99.05,3395.8,0.0,120,729.05,4244.85,71,0,4,94512,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
2,1,84,5900,0,0,0,0,0,2,26.62,11,44.95,85.15,0.0,0,53.24,138.39,80,0,4,94514,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1,1,74,5084,0,0,1,0,0,8,11.57,27,100.3,832.35,0.0,0,92.56,924.91,66,0,16,94539,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0
1,1,96,4829,0,0,1,0,2,44,0.0,28,30.35,1359.7,0.0,0,0.0,1359.7,73,0,4,94550,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
1,1,91,5052,0,0,1,0,1,62,7.11,16,103.75,6383.35,0.0,0,440.82,6824.17,77,0,8,94558,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0
2,1,72,3601,0,0,1,0,1,33,33.19,15,80.6,2656.5,0.0,0,1095.27,3751.77,76,0,8,94566,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
2,1,91,5419,0,0,1,0,0,4,49.5,23,94.3,424.45,0.0,0,198.0,622.45,65,0,4,94583,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
1,1,65,2377,0,0,1,0,1,27,10.6,23,75.5,1893.95,0.0,0,286.2,2180.15,75,0,8,94588,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
1,1,90,5906,1,0,0,0,0,8,40.45,29,100.6,819.4,0.0,0,323.6,1143.0,75,0,32,94704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
1,1,68,4486,1,0,0,0,1,3,25.77,2,88.3,273.75,0.0,0,77.31,351.06,68,0,32,94707,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0
1,1,81,5662,0,0,1,0,0,8,42.93,9,92.1,729.95,0.0,0,343.44,1073.39,71,0,32,94710,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
3,1,96,4777,0,0,1,0,0,14,11.31,24,90.45,1266.1,0.0,0,158.34,1424.4399999999998,74,0,4,94904,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
1,1,74,2437,0,0,1,0,0,12,0.0,10,43.65,526.95,0.0,0,0.0,526.95,77,0,4,94933,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1,1,90,2995,0,0,1,0,0,13,40.37,21,74.3,940.35,0.0,0,524.81,1465.16,73,0,4,95019,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2,1,89,2202,1,0,0,0,0,11,3.96,27,89.7,1047.7,0.0,0,43.56,1091.26,68,0,4,95020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
